潮汕周边,#genre#
广东卫视高清,http://192.168.1.1:10000/udp/239.77.0.84:5146
经济科教高清,http://192.168.1.1:10000/udp/239.77.0.85:5146
广东体育高清-测试,http://192.168.1.1:10000/udp/239.77.0.112:5146
广东珠江高清,http://192.168.1.1:10000/udp/239.77.0.1:5146
大湾区卫视高清,http://192.168.1.1:10000/udp/239.77.0.215:5146
广东影视高清,http://192.168.1.1:10000/udp/239.77.0.217:5146
广东民生高清,http://192.168.1.1:10000/udp/239.77.0.225:5146
广东少儿高清,http://192.168.1.1:10000/udp/239.77.0.250:5146
广东新闻高清,http://192.168.1.1:10000/udp/239.77.0.173:5146
嘉佳卡通高清,http://192.168.1.1:10000/udp/239.77.0.179:5146
岭南戏曲高清,http://192.168.1.1:10000/udp/239.77.0.122:5146

广东标清,#genre#
广东卫视,http://192.168.1.1:10000/udp/239.77.0.2:5146
广东珠江,http://192.168.1.1:10000/udp/239.77.0.3:5146
广东新闻,http://192.168.1.1:10000/udp/239.77.0.4:5146
广东民生,http://192.168.1.1:10000/udp/239.77.0.5:5146
广东体育,http://192.168.1.1:10000/udp/239.77.0.6:5146
经济科教,http://192.168.1.1:10000/udp/239.77.0.8:5146
大湾区卫视,http://192.168.1.1:10000/udp/239.77.0.9:5146
广东影视,http://192.168.1.1:10000/udp/239.77.0.11:5146
广东少儿,http://192.168.1.1:10000/udp/239.77.0.12:5146
嘉佳卡通,http://192.168.1.1:10000/udp/239.77.0.13:5146
广东移动,http://192.168.1.1:10000/udp/239.77.0.20:5146
汕头新闻综合,http://192.168.1.1:10000/udp/239.77.1.130:5146
汕头经济生活,http://192.168.1.1:10000/udp/239.77.1.131:5146
汕头文旅体育,http://192.168.1.1:10000/udp/239.77.1.132:5146
揭阳综合,http://192.168.1.1:10000/udp/239.77.0.157:5146
揭阳文化生活,http://192.168.1.1:10000/udp/239.77.0.158:5146
南方购物,http://192.168.1.1:10000/udp/239.77.0.22:5146
南方购物-精选,http://192.168.1.1:10000/udp/239.77.0.19:5146
岭南戏曲,http://192.168.1.1:10000/udp/239.77.0.16:5146
现代教育,http://192.168.1.1:10000/udp/239.77.0.18:5146
深圳移动电视,http://192.168.1.1:10000/udp/239.77.1.175:5146

广东地方,#genre#
广州综合,http://192.168.1.1:10000/udp/239.253.43.71:5146
广州新闻,http://192.168.1.1:10000/udp/239.253.43.72:5146
广州影视,http://192.168.1.1:10000/udp/239.253.43.73:5146
广州法治,http://192.168.1.1:10000/udp/239.253.43.74:5146
深圳体育健康 HD,http://192.168.1.1:10000/udp/239.77.1.128:5146
深圳都市频道 HD,http://192.168.1.1:10000/udp/239.77.1.176:5146
深圳电视剧频道 HD,http://192.168.1.1:10000/udp/239.77.1.177:5146
深圳公共频道 HD,http://192.168.1.1:10000/udp/239.77.1.178:5146
深圳龙岗频道 HD,http://192.168.1.1:10000/udp/239.77.1.223:5146
深圳东部频道 HD,http://192.168.1.1:10000/udp/239.77.1.224:5146
深圳财经生活 HD,http://192.168.1.1:10000/udp/239.77.1.242:5146
深圳娱乐频道 HD,http://192.168.1.1:10000/udp/239.77.1.243:5146
深圳少儿频道 HD,http://192.168.1.1:10000/udp/239.77.1.244:5146
深圳众创TV HD,http://192.168.1.1:10000/udp/239.77.1.247:5146
深圳都市,http://192.168.1.1:10000/udp/239.77.1.124:5146
深圳电视剧,http://192.168.1.1:10000/udp/239.77.1.125:5146
深圳公共,http://192.168.1.1:10000/udp/239.77.1.126:5146
深圳财经生活,http://192.168.1.1:10000/udp/239.77.1.242:5146
深圳娱乐,http://192.168.1.1:10000/udp/239.77.1.243:5146
深圳体育,http://192.168.1.1:10000/udp/239.77.1.140:5146
深圳少儿,http://192.168.1.1:10000/udp/239.77.1.244:5146
深圳公共,http://192.168.1.1:10000/udp/239.77.1.178:5146
深圳宜和购物 HD,http://192.168.1.1:10000/udp/239.77.1.87:5146
佛山综合,http://192.168.1.1:10000/udp/239.253.43.57:5146
佛山影视,http://192.168.1.1:10000/udp/239.253.43.56:5146
佛山公共,http://192.168.1.1:10000/udp/239.253.43.53:5146
顺德,http://192.168.1.1:10000/udp/239.253.43.55:5146
南海,http://192.168.1.1:10000/udp/239.253.43.54:5146
中山综合,http://192.168.1.1:10000/udp/239.253.43.62:5146
中山公共,http://192.168.1.1:10000/udp/239.253.43.63:5146
中山教育,http://192.168.1.1:10000/udp/239.253.43.64:5146
珠海-1,http://192.168.1.1:10000/udp/239.77.0.155:5146
珠海-2,http://192.168.1.1:10000/udp/239.77.0.154:5146
江门综合,http://192.168.1.1:10000/udp/239.77.0.201:5146
江门侨乡生活,http://192.168.1.1:10000/udp/239.77.0.202:5146
江门教育,http://192.168.1.1:10000/udp/239.77.0.203:5146
韶关新闻综合,http://192.168.1.1:10000/udp/239.77.0.117:5146
韶关绿色生活,http://192.168.1.1:10000/udp/239.77.0.119:5146
清远新闻综合,http://192.168.1.1:10000/udp/239.253.43.33:5146
清远文旅生活,http://192.168.1.1:10000/udp/239.253.43.34:5146
肇庆综合,http://192.168.1.1:10000/udp/239.253.43.3:5146
肇庆生活服务,http://192.168.1.1:10000/udp/239.253.43.4:5146
肇庆生活服务,http://192.168.1.1:10000/udp/239.253.43.2:5146
云浮综合,http://192.168.1.1:10000/udp/239.77.0.253:5146
云浮文旅,http://192.168.1.1:10000/udp/239.77.0.254:5146
茂名综合,http://192.168.1.1:10000/udp/239.77.0.206:5146
茂名文化生活,http://192.168.1.1:10000/udp/239.77.0.207:5146
湛江综合,http://192.168.1.1:10000/udp/239.77.0.141:5146
湛江公共,http://192.168.1.1:10000/udp/239.77.0.140:5146
徐闻综合,http://192.168.1.1:10000/udp/239.253.43.112:5146
东莞新闻综合,http://192.168.1.1:10000/udp/239.253.43.104:5146
东莞生活资讯,http://192.168.1.1:10000/udp/239.253.43.105:5146
惠州-1,http://192.168.1.1:10000/udp/239.77.1.232:5146
惠州-2,http://192.168.1.1:10000/udp/239.77.1.233:5146
河源综合,http://192.168.1.1:10000/udp/239.253.43.213:5146
河源公共,http://192.168.1.1:10000/udp/239.253.43.214:5146
汕头综合,http://192.168.1.1:10000/udp/239.253.43.45:5146
汕头经济生活,http://192.168.1.1:10000/udp/239.253.43.46:5146
汕头文旅体育,http://192.168.1.1:10000/udp/239.253.43.47:5146
潮州综合,http://192.168.1.1:10000/udp/239.253.43.70:5146
潮州民生,http://192.168.1.1:10000/udp/239.253.43.75:5146
揭阳综合,http://192.168.1.1:10000/udp/239.77.0.229:5146
揭阳公共,http://192.168.1.1:10000/udp/239.77.0.251:5146
汕尾新闻综合,http://192.168.1.1:10000/udp/239.77.0.25:5146
汕尾文化生活,http://192.168.1.1:10000/udp/239.77.0.187:5146
梅州综合,http://192.168.1.1:10000/udp/239.253.43.123:5146
梅州客家生活,http://192.168.1.1:10000/udp/239.253.43.124:5146

广东4K,#genre#
广东4K超高清,http://192.168.1.1:10000/udp/239.77.0.244:5146
广东4K超高清 宽色域,http://192.168.1.1:10000/udp/239.77.0.246:5146
广东4K超高清 窄色域 30,http://192.168.1.1:10000/udp/239.77.0.245:5146
广东4K超高清 宽色域AVS2,http://192.168.1.1:10000/udp/239.77.0.252:5146

卫视高清,#genre#
湖南卫视高清,http://192.168.1.1:10000/udp/239.77.0.88:5146
浙江卫视高清,http://192.168.1.1:10000/udp/239.77.0.89:5146
江苏卫视高清,http://192.168.1.1:10000/udp/239.77.0.90:5146
北京卫视高清,http://192.168.1.1:10000/udp/239.77.0.91:5146
深圳卫视高清,http://192.168.1.1:10000/udp/239.77.0.92:5146
黑龙江卫视高清,http://192.168.1.1:10000/udp/239.77.0.93:5146
湖北卫视高清,http://192.168.1.1:10000/udp/239.77.0.95:5146
天津卫视高清,http://192.168.1.1:10000/udp/239.77.0.97:5146
山东卫视高清,http://192.168.1.1:10000/udp/239.77.0.94:5146
东方卫视高清,http://192.168.1.1:10000/udp/239.77.0.98:5146
辽宁卫视 高清,http://192.168.1.1:10000/udp/239.77.0.123:5146
四川卫视高清,http://192.168.1.1:10000/udp/239.77.0.159:5146
重庆卫视高清,http://192.168.1.1:10000/udp/239.77.0.182:5146
安徽卫视高清,http://192.168.1.1:10000/udp/239.77.0.183:5146
贵州卫视高清,http://192.168.1.1:10000/udp/239.77.0.230:5146
福建东南卫视高清,http://192.168.1.1:10000/udp/239.77.0.146:5146
上海纪实高清,http://192.168.1.1:10000/udp/239.77.0.147:5146
河北卫视高清,http://192.168.1.1:10000/udp/239.77.0.148:5146
江西卫视高清,http://192.168.1.1:10000/udp/239.77.0.149:5146
吉林卫视高清,http://192.168.1.1:10000/udp/239.77.0.150:5146
广西卫视高清,http://192.168.1.1:10000/udp/239.77.0.139:5146
甘肃卫视高清,http://192.168.1.1:10000/udp/239.77.0.189:5146
河南卫视高清,http://192.168.1.1:10000/udp/239.77.0.17:5146
云南卫视高清,http://192.168.1.1:10000/udp/239.253.43.100:5146
海南卫视高清,http://192.168.1.1:10000/udp/239.253.43.101:5146
三沙卫视高清,http://192.168.1.1:10000/udp/239.253.43.113:5146

卫视超清,#genre#
湖南卫视超清,http://192.168.1.1:10000/udp/239.77.0.127:5146
浙江卫视超清,http://192.168.1.1:10000/udp/239.77.0.125:5146
江苏卫视超清,http://192.168.1.1:10000/udp/239.77.0.126:5146
黑龙江卫视超清,http://192.168.1.1:10000/udp/239.77.0.124:5146
湖北卫视超清,http://192.168.1.1:10000/udp/239.77.0.128:5146
天津卫视超清,http://192.168.1.1:10000/udp/239.77.0.131:5146
山东卫视超清,http://192.168.1.1:10000/udp/239.77.0.132:5146
辽宁卫视超清,http://192.168.1.1:10000/udp/239.77.0.161:5146
四川卫视超清,http://192.168.1.1:10000/udp/239.77.0.163:5146

卫视标清,#genre#
湖南卫视,http://192.168.1.1:10000/udp/239.77.0.46:5146
浙江卫视,http://192.168.1.1:10000/udp/239.77.0.47:5146
江苏卫视,http://192.168.1.1:10000/udp/239.77.0.48:5146
东方卫视,http://192.168.1.1:10000/udp/239.77.0.49:5146
安徽卫视,http://192.168.1.1:10000/udp/239.77.0.50:5146
北京卫视,http://192.168.1.1:10000/udp/239.77.0.51:5146
天津卫视,http://192.168.1.1:10000/udp/239.77.0.52:5146
山东卫视,http://192.168.1.1:10000/udp/239.77.0.53:5146
江西卫视,http://192.168.1.1:10000/udp/239.77.0.54:5146
深圳卫视,http://192.168.1.1:10000/udp/239.77.0.55:5146
湖北卫视,http://192.168.1.1:10000/udp/239.77.0.56:5146
辽宁卫视,http://192.168.1.1:10000/udp/239.77.0.57:5146
黑龙江卫视,http://192.168.1.1:10000/udp/239.77.0.58:5146
贵州卫视,http://192.168.1.1:10000/udp/239.77.0.59:5146
四川卫视,http://192.168.1.1:10000/udp/239.77.0.60:5146
河南卫视,http://192.168.1.1:10000/udp/239.77.0.61:5146
云南卫视,http://192.168.1.1:10000/udp/239.77.0.62:5146
重庆卫视,http://192.168.1.1:10000/udp/239.77.0.63:5146
河北卫视,http://192.168.1.1:10000/udp/239.77.0.64:5146
东南卫视,http://192.168.1.1:10000/udp/239.77.0.65:5146
广西卫视,http://192.168.1.1:10000/udp/239.77.0.66:5146
吉林卫视,http://192.168.1.1:10000/udp/239.77.0.67:5146
陕西卫视,http://192.168.1.1:10000/udp/239.77.0.68:5146
山西卫视,http://192.168.1.1:10000/udp/239.77.0.69:5146
内蒙古卫视,http://192.168.1.1:10000/udp/239.77.0.70:5146
青海卫视,http://192.168.1.1:10000/udp/239.77.0.71:5146
海南卫视,http://192.168.1.1:10000/udp/239.77.0.72:5146
宁夏卫视,http://192.168.1.1:10000/udp/239.77.0.73:5146
西藏卫视,http://192.168.1.1:10000/udp/239.77.0.74:5146
新疆卫视,http://192.168.1.1:10000/udp/239.77.0.75:5146
甘肃卫视,http://192.168.1.1:10000/udp/239.77.0.76:5146
兵团卫视,http://192.168.1.1:10000/udp/239.77.0.77:5146
卡酷动画,http://192.168.1.1:10000/udp/239.77.0.79:5146
金鹰卡通,http://192.168.1.1:10000/udp/239.77.0.80:5146
炫动卡通,http://192.168.1.1:10000/udp/239.77.0.81:5146
山东教育,http://192.168.1.1:10000/udp/239.77.0.83:5146
财富天下,http://192.168.1.1:10000/udp/239.77.0.113:5146
厦门卫视,http://192.168.1.1:10000/udp/239.77.0.96:5146
三沙卫视,http://192.168.1.1:10000/udp/239.77.0.152:5146
吉林延边卫视,http://192.168.1.1:10000/udp/239.77.0.10:5146

其它,#genre#
CETV-1,http://192.168.1.1:10000/udp/239.77.0.82:5146
CETV2,http://192.168.1.1:10000/udp/239.77.0.28:5146
CETV4,http://192.168.1.1:10000/udp/239.77.0.29:5146
CETV4高清,http://192.168.1.1:10000/udp/239.253.43.114:5146
CGTN英语高清,http://192.168.1.1:10000/udp/239.77.0.199:5146
CGTN俄语高清,http://192.168.1.1:10000/udp/239.253.43.201:5146
CGTN,http://192.168.1.1:10000/udp/239.77.0.45:5146
IPTV谍战剧场,http://192.168.1.1:10000/udp/239.77.0.99:5146
IPTV相声小品,http://192.168.1.1:10000/udp/239.77.0.100:5146
IPTV野外,http://192.168.1.1:10000/udp/239.77.0.101:5146
IPTV法治,http://192.168.1.1:10000/udp/239.77.0.102:5146
PPTV-1,http://192.168.1.1:10000/udp/239.77.1.183:5146
PPTV-2,http://192.168.1.1:10000/udp/239.77.1.184:5146
PPTV-3,http://192.168.1.1:10000/udp/239.77.1.185:5146
PPTV-4,http://192.168.1.1:10000/udp/239.77.1.186:5146
金鹰卡通高清,http://192.168.1.1:10000/udp/239.77.0.164:5146
金鹰纪实高清测试,http://192.168.1.1:10000/udp/239.77.0.160:5146
金鹰纪实超清测试,http://192.168.1.1:10000/udp/239.77.0.162:5146
百视通体育直播室1,http://192.168.1.1:10000/udp/239.253.43.115:5146
百视通体育直播室4,http://192.168.1.1:10000/udp/239.253.43.116:5146
百视通体育直播室5,http://192.168.1.1:10000/udp/239.253.43.117:5146
百视通体育直播室6,http://192.168.1.1:10000/udp/239.253.43.118:5146
百视通体育直播室7,http://192.168.1.1:10000/udp/239.253.43.119:5146
爱体育高清,http://192.168.1.1:10000/udp/239.77.0.176:5146 
爱电影,http://192.168.1.1:10000/udp/239.77.0.103:5146
中国教育-1高清,http://192.168.1.1:10000/udp/239.77.0.200:5146
中国交通,http://192.168.1.1:10000/udp/239.77.1.249:5146
优漫卡通,http://192.168.1.1:10000/udp/239.77.0.222:5146
CHC高清电影,http://192.168.1.1:10000/udp/239.77.0.27:5146
茶,http://192.168.1.1:10000/udp/239.77.0.15:5146
快乐垂钓,http://192.168.1.1:10000/udp/239.77.0.145:5146
经典电影,http://192.168.1.1:10000/udp/239.77.0.104:5146
爱大剧,http://192.168.1.1:10000/udp/239.77.0.105:5146
热播剧场,http://192.168.1.1:10000/udp/239.77.0.106:5146
爱综艺,http://192.168.1.1:10000/udp/239.77.0.107:5146
爱体育,http://192.168.1.1:10000/udp/239.77.0.108:5146
少儿动画,http://192.168.1.1:10000/udp/239.77.0.109:5146
魅力时尚,http://192.168.1.1:10000/udp/239.77.0.110:5146
收视指南,http://192.168.1.1:10000/udp/239.77.0.111:5146
4k测试频道8,http://192.168.1.1:10000/udp/239.77.0.249:5146
精选4k频道3,http://192.168.1.1:10000/udp/239.77.0.153:5146
求索纪录,http://192.168.1.1:10000/udp/239.77.0.21:5146
天元围棋,http://192.168.1.1:10000/udp/239.253.43.98:5146
汽摩,http://192.168.1.1:10000/udp/239.77.0.209:5146
老故事,http://192.168.1.1:10000/udp/239.77.0.220:5146
国学,http://192.168.1.1:10000/udp/239.77.0.226:5146
精选频道2,http://192.168.1.1:10000/udp/239.77.0.185:5146
九频同播频道,http://192.168.1.1:10000/udp/239.0.10.115:5115
